buchstabe	{'06828818-n'}
marienkäfer	{'02165456-n'}
motschekiebchen	{'02165456-n'}
gelenk	{'05595083-n'}
rat	{'09775663-n', '08310949-n', '08309409-n'}
nukleosid	{'14964367-n'}
seenadel	{'01455778-n'}
hippocampus	{'01456631-n'}
vater	{'10405540-n', '10080869-n'}
system	{'05237227-n', '04377057-n', '05661996-n'}
kunzit	{'14928180-n'}
lithium	{'14643793-n'}
hiddenit	{'15052413-n'}
spasmus	{'14360459-n'}
annapurna	{'09197945-n'}
fenster	{'04589745-n', '04587648-n'}
kolonialismus	{'00426526-n'}
insektenfresser	{'01888520-n', '01889074-n'}
stoff	{'00019613-n', '03309808-n'}
maseru	{'08959105-n'}
sesotho	{'09693372-n'}
menge	{'07999699-n', '07951464-n', '05855125-n'}
unterhose	{'02896442-n', '04508489-n'}
komik	{'06776138-n'}
kermesbeere	{'11855274-n'}
waldmurmeltier	{'02361587-n'}
wasser	{'14845743-n', '09225146-n', '14855724-n'}
adelige	{'10412910-n'}
zoll	{'13315999-n'}
pastete	{'07856270-n'}
spielen	{'01714208-v', '02035919-v'}
untereinheit	{'13662703-n'}
tragen	{'00523513-n', '03051540-n', '00433216-n'}
soutane	{'02979516-n', '04264233-n'}
talar	{'03450516-n'}
albe	{'02694966-n'}
chorrock	{'04364994-n'}
velum	{'03548930-n'}
kasel	{'03010795-n'}
pallium	{'05486510-n', '03880129-n'}
teich	{'09397391-n'}
stausee	{'04078747-n'}
heroin	{'02837416-n'}
opiat	{'03850746-n'}
gestalt	{'05931341-n', '05930386-n', '13741022-n', '03335600-n'}
tonne	{'02795169-n'}
schlag	{'01173038-n'}
gruß	{'06630017-n'}
diabetes	{'14117805-n'}
styrol	{'14595543-n'}
styropor	{'14595933-n'}
behörde	{'08337324-n'}
getränk	{'07885223-n', '07881800-n'}
bild	{'07269916-n', '03925226-n', '03265874-n', '03931044-n', '10027246-n'}
maikäfer	{'02174659-n'}
kutsche	{'02968473-n'}
hahnenfuß	{'11720353-n'}
phospholipid	{'14982681-n'}
emulgator	{'14674408-n'}
glimmer	{'14681555-n'}
cephalosporin	{'02996840-n'}
behälter	{'03094503-n'}
film	{'06613686-n', '03338821-n'}
delaware	{'09264116-n'}
rum	{'07905038-n'}
laib	{'07683786-n'}
hölle	{'05629682-n'}
unterleib	{'05558345-n'}
abdominal	{'05557339-n'}
innere	{'05534333-n'}
bauch	{'05534333-n'}
bauchnabel	{'05556595-n'}
dysfunktion	{'14557898-n'}
münze	{'13388245-n'}
behandlung	{'00658082-n'}
kohlenstoff	{'14633206-n'}
salut	{'06633041-n'}
anerkennung	{'06628861-n'}
begrüßen	{'06631322-n'}
hallo	{'06632511-n'}
antwort	{'06630852-n'}
einheit	{'13583724-n', '08189659-n'}
beweis	{'05824739-n', '05823932-n'}
hormon	{'05407119-n'}
rassismus	{'06203758-n'}
operation	{'00671351-n', '13524925-n'}
lerchensporn	{'11904109-n', '11903881-n'}
radikale	{'14621446-n', '10503452-n'}
theater	{'06893885-n'}
konzert	{'06892775-n'}
aufführung	{'06893441-n'}
kastanie	{'12262905-n', '04972350-n'}
baum	{'13104059-n'}
zeus	{'01452954-n'}
gewalt	{'08208016-n', '00965404-n'}
grog	{'07904865-n'}
eisenbahn	{'04048568-n', '04468005-n'}
ende	{'08566028-n', '06753030-n'}
kommunikation	{'00033020-n'}
anweisung	{'06722453-n', '06786629-n'}
information	{'06634376-n', '05816287-n', '08462320-n'}
spitze	{'08386555-n', '13902482-n', '04275661-n'}
punkt	{'13902482-n', '08620061-n', '15113229-n', '13939892-n'}
waffe	{'04565375-n'}
bajonett	{'02812949-n'}
klinge	{'02848216-n', '04198722-n', '04373894-n'}
buddhismus	{'06240244-n', '08098708-n'}
judentum	{'08479095-n', '08094013-n', '06232880-n'}
gottesdienst	{'08082602-n', '03028079-n'}
kult	{'08151490-n'}
schaffung	{'08053576-n'}
daoismus	{'08098346-n'}
hinduismus	{'08096624-n', '06236802-n'}
geländer	{'04047401-n'}
selen	{'14654175-n'}
tocopherol	{'15092409-n'}
strahlung	{'00705580-n', '01252918-n'}
psychose	{'14398067-n'}
after	{'05538016-n'}
empfindlichkeit	{'14531772-n'}
süden	{'09050244-n'}
jacksonville	{'09073258-n'}
miami	{'09073697-n'}
tampa	{'09075329-n'}
orlando	{'09074140-n'}
systole	{'07401409-n'}
bloodhound	{'02088466-n'}
otterhound	{'02091635-n'}
element	{'03081021-n', '14840755-n', '06795746-n', '14622893-n'}
ständer	{'04301000-n'}
singer	{'10599806-n'}
theorie	{'05989479-n', '05888929-n'}
land	{'08556491-n', '13246662-n', '08544813-n', '09335240-n'}
likör	{'07907943-n'}
kunstwerk	{'02743547-n', '06998748-n'}
brisbane	{'08832877-n'}
singapur	{'08997801-n'}
asean	{'08487504-n'}
singapurerin	{'09749614-n'}
neurobiologie	{'06078511-n'}
neurophysiologie	{'06081602-n'}
werbung	{'07248801-n', '07250034-n', '07247071-n'}
chicago	{'09083390-n'}
engineering	{'06125041-n'}
exokrin	{'05328867-n'}
stall	{'04299370-n'}
antilope	{'02419796-n'}
jagdhund	{'02087551-n'}
wohnsitzwechsel	{'01123095-n'}
lignin	{'14935319-n'}
splintholz	{'13097536-n'}
kernholz	{'13097752-n'}
kiefer	{'11608885-n'}
buche	{'12261179-n'}
stamm	{'14942762-n', '08102555-n', '13165815-n'}
eichenholz	{'12268918-n'}
fichtenholz	{'11624840-n'}
bauholz	{'15100257-n'}
laubholz	{'15100112-n'}
pappel	{'12731714-n', '12731401-n'}
ulme	{'12405714-n', '12406155-n'}
faser	{'03331244-n', '14866889-n'}
semantik	{'06179792-n'}
erle	{'12284665-n', '12284262-n'}
linde	{'12203331-n', '12202936-n'}
kirschbaum	{'12641796-n'}
bambus	{'12147539-n'}
mahagoni	{'12695572-n', '12695144-n'}
balsa	{'12191813-n'}
tanne	{'11620912-n'}
wimpertierchen	{'01395254-n'}
code	{'06353934-n', '06355894-n'}
schweinswal	{'02070430-n'}
schrift	{'01747945-v', '06359877-n', '06351613-n', '06362953-n'}
alabama	{'09191875-n'}
person	{'14438693-n', '00007846-n'}
lesbisch	{'10254965-n', '09711530-n'}
individuum	{'00007846-n'}
abfall	{'14857497-n', '14856263-n'}
joint	{'03601335-n'}
kunst	{'05638987-n', '02743547-n', '00933420-n', '05637558-n'}
malaysisch	{'09721883-n', '09712696-n'}
putrajaya	{'08963969-n'}
malaiisch	{'09712696-n'}
hacke	{'03731019-n'}
roman	{'06367879-n', '09716933-n'}
kolosseum	{'03072828-n'}
geschlecht	{'13813042-n', '05006898-n', '00844254-n'}
beziehung	{'00031921-n', '07545415-n', '13780719-n', '13928668-n'}
verwandtschaft	{'13813283-n', '07969695-n', '13812607-n'}
blutsverwandtschaft	{'13813591-n'}
elternschaft	{'13813765-n'}
vaterschaft	{'13813898-n'}
kohl	{'11875691-n', '11877193-n'}
politik	{'06148148-n', '05901508-n'}
manöver	{'00168237-n'}
polymorphismus	{'11493266-n'}
bildung	{'05984287-n', '09287968-n', '08426461-n', '01659248-v'}
brahmane	{'08306959-n'}
hindu	{'09713501-n', '09684609-n'}
schnapper	{'02586543-n'}
torfgränke	{'12234318-n'}
belgien	{'08849753-n'}
niederlande	{'08949093-n'}
wagon	{'02958343-n'}
washington	{'09070793-n'}
gaumensegel	{'05309392-n'}
luxemburg	{'08960987-n'}
boden	{'02819474-n', '09217638-n', '09335240-n', '14844693-n', '14842992-n'}
fliege	{'02190166-n', '02190648-n'}
fest	{'06303540-n', '07447641-n', '15046900-n', '13246475-n'}
bewusstlosigkeit	{'05678932-n'}
note	{'06504462-n'}
patella	{'01948917-n', '05278395-n'}
walnuss	{'12318378-n'}
butternuss	{'07771891-n', '12318965-n'}
bau	{'04341686-n', '00911048-n', '02913152-n'}
wohnheim	{'03541696-n'}
resort	{'08640531-n'}
schmerzen	{'14323683-n', '14322699-n', '05724694-n'}
verbindung	{'13792842-n', '14818238-n', '07339329-n', '01291069-v'}
lkw	{'04490091-n'}
titan	{'14659211-n'}
philosophie	{'06158346-n', '05943300-n'}
schallplatte	{'03924069-n'}
einsiedler	{'10172448-n'}
lumineszenz	{'11476430-n'}
double	{'10666846-n'}
griffbrett	{'03341297-n'}
taro	{'11786539-n', '11786843-n'}
zuckermelone	{'07755707-n', '12164363-n'}
melone	{'12163824-n'}
gorgo	{'09495103-n'}
test	{'05799212-n', '00791078-n'}
erforschen	{'05797597-n'}
prüfung	{'00635850-n', '05799212-n'}
wecker	{'02694662-n'}
bewegung	{'03795758-n', '01835496-v', '00331950-n', '13518963-n', '00279835-n'}
brot	{'07679356-n'}
show	{'06619065-n'}
therapie	{'00661091-n'}
agentur	{'08337324-n'}
ontologie	{'06162847-n'}
kosmologie	{'06163223-n'}
rosa	{'12620196-n'}
programm	{'06568978-n', '05898568-n'}
malakka	{'12136581-n'}
maß	{'03429288-n', '00489837-v', '00996969-n', '00174412-n'}
messung	{'00489837-v', '00996969-n'}
werden	{'15094294-n', '02210855-v', '00457382-n'}
pueblo	{'09068320-n', '09666622-n'}
siliziumdioxid	{'15041277-n'}
musiker	{'10339966-n', '10340312-n'}
bildhauer	{'10566072-n'}
maler	{'10391653-n'}
leicht	{'03666591-n', '11473954-n'}
enzym	{'14732946-n'}
medizin	{'06043075-n', '03740161-n'}
naphthochinon	{'15092751-n'}
textilie	{'03309808-n'}
material	{'14580897-n', '03309808-n'}
gewebe	{'03309808-n', '15074962-n'}
diplomat	{'10013927-n'}
echovirus	{'01338333-n'}
färbemittel	{'14985383-n'}
pigment	{'14984973-n', '14989820-n'}
rötung	{'14336539-n'}
sukkulente	{'13084184-n'}
gesellschaft	{'08187033-n', '13929588-n', '08008335-n', '08227214-n', '08387930-n'}
windsurfen	{'01948450-v'}
teil	{'08216900-n', '07030718-n', '13285176-n', '08630039-n', '05256358-n', '06392001-n', '09385911-n', '03892891-n', '05867413-n', '13809207-n'}
autorität	{'09824361-n'}
wasserbrotwurzel	{'11786843-n'}
flugzeugführer	{'10433164-n'}
julfest	{'15196537-n'}
weihnachten	{'15196537-n'}
kutikula	{'01903756-n'}
hülle	{'01903756-n', '02977619-n'}
deutung	{'07170753-n'}
trespe	{'12110778-n'}
alkaloid	{'14712692-n'}
tango	{'01896007-v'}
mit	{'07673397-n', '01895757-v', '14966667-n', '04290259-n'}
walzer	{'01895612-v'}
hotel	{'03542333-n'}
abstand	{'05129565-n', '05084201-n'}
orthoklas	{'14865221-n'}
oligoklas	{'14865316-n'}
gottheit	{'09505418-n'}
göttin	{'09505418-n'}
assay	{'00791527-n'}
wellenreiten	{'01948077-v'}
surfbrett	{'01948077-v'}
expedition	{'00309647-n'}
malariamittel	{'02721948-n'}
gliederfüßer	{'01767661-n'}
zustimmung	{'06686736-n', '13971065-n'}
häuten	{'01262936-v'}
haut	{'01262936-v', '05238282-n'}
abgezogen	{'01262936-v'}
facharzt	{'10632576-n'}
ruanda	{'08815046-n'}
burundi	{'08716219-n'}
hirnhaut	{'05326900-n'}
hund	{'02084071-n', '02083346-n'}
kot	{'14854847-n', '14854262-n'}
display	{'03211117-n'}
felinen	{'02127808-n'}
mähne	{'01899746-n'}
teile	{'02678738-n'}
xtc	{'02678738-n'}
rudel	{'07994941-n', '07995278-n'}
poker	{'00494768-n'}
ofen	{'03343560-n', '03862676-n', '03404449-n'}
feuerstelle	{'03507241-n'}
hostess	{'10187491-n'}
neurotransmitter	{'14807558-n'}
katecholamine	{'14807929-n'}
frisur	{'05256862-n'}
action	{'00037396-n'}
wahrscheinlichkeit	{'04756635-n'}
auto	{'01930738-v', '02960352-n', '02958343-n'}
hindustani	{'06970373-n'}
sanskrit	{'06969129-n'}
fuchs	{'02118333-n', '02388735-n'}
nachtschattengewächse	{'12892226-n'}
bilsenkraut	{'12904314-n'}
kleeblatt	{'11753700-n'}
lyrik	{'06380726-n', '07051975-n'}
preis	{'04487996-n', '06696483-n'}
oscar	{'07268967-n'}
geburt	{'09856671-n', '13532886-n'}
derwisch	{'10006337-n'}
aldehyd	{'14584765-n'}
glissando	{'06857122-n'}
zucken	{'14361664-n'}
kuchen	{'07628870-n', '07631834-n'}
türkei	{'09039411-n'}
lydien	{'08788004-n'}
lykien	{'08787878-n'}
bithynien	{'08503921-n'}
phrygien	{'08701410-n'}
galatien	{'08701296-n'}
kappadokien	{'08701161-n'}
troja	{'08788887-n'}
pontos	{'08701719-n'}
rosengewächse	{'12619306-n'}
post	{'06264398-n'}
modell	{'03178782-n', '05930736-n', '05937112-n'}
vorbild	{'05937112-n'}
lipid	{'14938907-n'}
frau	{'10780632-n', '10787470-n', '06328996-n'}
spuk	{'09545976-n'}
begrüßung	{'06630017-n'}
technik	{'06125041-n'}
rolle	{'05929008-n', '02362862-n', '05867413-n'}
armenhaus	{'04601159-n'}
nukleotid	{'14964590-n'}
klette	{'11924445-n'}
chanukka	{'15199033-n'}
kompanie	{'08214272-n'}
regiment	{'08213817-n'}
gold	{'14638799-n', '04966240-n'}
tumor	{'14235200-n'}
antikörper	{'15027189-n'}
alpenbirkenzeisig	{'01531971-n'}
stieglitz	{'01532325-n', '01531178-n'}
begriff	{'05836598-n', '06303888-n', '06751974-n'}
idee	{'05833840-n'}
fieberklee	{'12484784-n'}
rauchen	{'04103491-n'}
papier	{'14974264-n'}
geschlechtsverkehr	{'00845523-n'}
mischung	{'14818238-n', '07882497-n', '08398773-n', '07374756-n'}
seestern	{'02317335-n'}
zahn	{'05282746-n'}
kirche	{'03028079-n'}
rundmäuler	{'01476829-n', '01477080-n'}
watt	{'13644522-n'}
krankheit	{'14061805-n', '14070360-n'}
gehirnwäsche	{'00888960-n'}
volt	{'13643276-n'}
handwerk	{'01091905-n', '00606370-n'}
kooperation	{'01202904-n'}
bahn	{'04048568-n'}
luftpost	{'06622993-n'}
software	{'06566077-n'}
unix	{'06568706-n'}
präsentation	{'04076846-n'}
zeichnen	{'03009920-n'}
bebauungsplan	{'03959350-n'}
tadschikisch	{'09734006-n'}
duschanbe	{'09021313-n'}
übertragung	{'02232190-v', '06247181-n', '10724372-n', '01107932-n'}
theropode	{'01712008-n'}
antibiotikum	{'02716866-n'}
schicksal	{'07330007-n'}
bein	{'03906106-n', '03654576-n'}
kleidungsstück	{'03419014-n'}
hose	{'04480303-n'}
moosbeere	{'12245695-n'}
blaubeere	{'12246232-n'}
chauffeur	{'02058049-v'}
heilige	{'10547145-n'}
holzart	{'15098161-n'}
stück	{'03343853-n', '07654667-n', '03932203-n', '07037465-n'}
komposition	{'07037465-n'}
artischocke	{'11959632-n', '07718747-n'}
cardy	{'11959862-n'}
riesling	{'07897438-n'}
klo	{'03371875-n'}
abwesenheit	{'01234345-n'}
speiche	{'05593318-n'}
elle	{'05593476-n'}
schwingel	{'12121610-n'}
baseball	{'02799071-n', '00471613-n'}
hobart	{'08834280-n'}
mönchsfisch	{'02606384-n'}
linguistik	{'06172789-n', '06171040-n'}
taxon	{'07992450-n'}
bindehaut	{'05315095-n'}
vermarkten	{'02298160-v'}
marketing	{'01113068-n', '02298160-v'}
trommelfell	{'05318831-n'}
lobgesang	{'07036443-n'}
choral	{'07036328-n'}
versenkung	{'05785508-n'}
pflanze	{'00017222-n'}
munition	{'04566257-n'}
patrone	{'02971691-n'}
granate	{'04190464-n'}
leuchtspurmunition	{'04462707-n'}
universität	{'08287182-n'}
warnung	{'07224151-n'}
problem	{'06784003-n'}
saum	{'08583292-n', '04230808-n'}
sophismus	{'05895138-n'}
darm	{'05534333-n'}
diakon	{'09994673-n'}
rakete	{'03773504-n', '04008634-n', '04099175-n'}
chlorid	{'15017604-n', '15016852-n'}
spodumen	{'15052223-n'}
rodentia	{'02329093-n'}
schwellung	{'14315192-n'}
lymphödem	{'14120614-n'}
schwellungen	{'14315192-n'}
pinkeln	{'13533886-n'}
fladenbrot	{'07683360-n', '07682624-n'}
korallenbeere	{'12677841-n'}
askese	{'04881998-n'}
wisconsin	{'09480556-n'}
polyeder	{'13883885-n'}
rom	{'04058239-n'}
wort	{'06286395-n'}
rechtsanwalt	{'10249950-n', '09775663-n', '10623175-n'}
zug	{'04468005-n'}
gestein	{'09416076-n', '14696793-n'}
arius	{'02520985-n'}
aspisviper	{'01752736-n'}
viper	{'01752585-n', '01752165-n'}
sammlung	{'06592699-n', '07951464-n', '06591442-n'}
süß	{'05716577-n', '07609840-n'}
liste	{'06481320-n', '00634586-n', '02472223-v', '06416206-n'}
autor	{'10794014-n'}
rotlachs	{'02536165-n'}
schminke	{'03714235-n'}
dessert	{'07609840-n'}
rückenmark	{'05495172-n'}
rinder	{'02402425-n'}
butterfisch	{'02632989-n', '02614978-n'}
interozeption	{'05654052-n'}
florilegium	{'06592699-n'}
quarz	{'14693733-n'}
auerochse	{'02405101-n'}
silberlachs	{'02536864-n'}
brücke	{'02898711-n', '05500992-n', '02899569-n'}
königslachs	{'02536456-n'}
zebu	{'02404906-n'}
banteng	{'02405440-n'}
yak	{'02405302-n'}
genfer	{'09889346-n'}
bahnhof	{'08566028-n'}
nudeln	{'07700868-n', '07863374-n', '07698915-n'}
hijab	{'03520493-n'}
kopftuch	{'03505504-n', '02766168-n', '03610992-n'}
käse	{'07850329-n'}
krankenpfleger	{'10366966-n'}
brandgans	{'01849466-n'}
vorstellung	{'05625465-n', '05926676-n'}
form	{'05930736-n', '01659248-v', '05930386-n', '05217168-n', '03779621-n', '13077033-n'}
granatapfel	{'12345280-n'}
energie	{'14050143-n'}
winkel	{'13887509-n'}
membran	{'05426243-n'}
geologie	{'06115701-n'}
tourismus	{'00298161-n'}
kopfschmerzen	{'14326607-n'}
tennessee	{'09455640-n'}
süd	{'09050244-n'}
nashville	{'09141297-n'}
memphis	{'08899351-n', '09141119-n'}
katzenschweif	{'11956348-n'}
feuer	{'07302836-n'}
parapsychologie	{'07256375-n'}
skelett	{'05585383-n'}
knochen	{'05269901-n'}
feind	{'10055847-n'}
gegner	{'10055847-n'}
hülsenfrucht	{'11747468-n'}
zulu	{'09752023-n'}
korinther	{'09711320-n'}
japanisch	{'09718217-n'}
hand	{'06692238-n'}
tetrasaccharid	{'15069161-n'}
garage	{'03416489-n'}
mafioso	{'10280495-n'}
schwert	{'04373894-n'}
epoche	{'15254028-n', '15113229-n'}
wendehals	{'01841679-n'}
emu	{'01519873-n'}
pathologie	{'06060845-n'}
prothorax	{'02665687-n'}
allomorph	{'06306606-n'}
antidepressivum	{'02718811-n'}
silbe	{'06304671-n'}
barsch	{'02555863-n', '02556846-n'}
myom	{'14248541-n'}
spektroskop	{'04273064-n'}
soja	{'07729485-n'}
prozess	{'00029677-n', '06556692-n', '05701363-n'}
gas	{'14877585-n'}
brennstoff	{'14875077-n'}
erkenntnis	{'05707495-n'}
makroökonomie	{'06150933-n'}
farbton	{'14984973-n'}
färberwaid	{'15002138-n', '11890022-n'}
indigo	{'12536040-n', '14754860-n'}
cochenille	{'14987025-n'}
auftrieb	{'01968569-v', '05028963-n'}
blau	{'04969242-n', '14986593-n'}
chalcedon	{'14806333-n'}
sardonyx	{'15019972-n'}
see	{'09328904-n'}
unordnung	{'13972797-n'}
austausch	{'01093085-n'}
grad	{'13939892-n'}
verstärker	{'02705944-n'}
strich	{'02796995-n'}
option	{'13241600-n'}
heimweh	{'07487594-n'}
lepton	{'09338013-n'}
beutel	{'03993180-n', '02773037-n'}
pali	{'06973334-n'}
clan	{'07969695-n'}
führer	{'09623038-n'}
überheblichkeit	{'04887912-n'}
übermut	{'04887912-n'}
wahrsagen	{'05776212-n'}
bagdad	{'08914193-n'}
tigris	{'09458791-n'}
euphrat	{'09274739-n'}
mesopotamien	{'08916316-n'}
iraker	{'09714694-n'}
mosul	{'08915017-n'}
chor	{'03024064-n'}
gegensatz	{'07206887-n'}
rüstung	{'02739668-n'}
wappenschild	{'03296478-n'}
songwriter	{'10624540-n'}
purin	{'14706749-n'}
wachsblume	{'11774513-n'}
bezahlung	{'01120448-n'}
schifffahrt	{'01950798-v', '01105259-n'}
handel	{'01090446-n', '00079398-n'}
verkauf	{'01113068-n', '01114824-n'}
einfuhr	{'01111750-n', '02346136-v'}
unternehmen	{'13929588-n', '01094725-n'}
ausfuhr	{'02346409-v', '01111952-n'}
infektion	{'14174549-n'}
habichtskraut	{'11982115-n'}
korbblütler	{'11911591-n'}
grünspan	{'04528079-n'}
strauch	{'13112664-n'}
staat	{'08303692-n', '08168978-n', '00024720-n'}
schmerz	{'14322699-n'}
phenobarbital	{'04256152-n'}
secobarbital	{'04163740-n'}
wissen	{'05999797-n', '00023271-n'}
kreuzblume	{'12705013-n'}
religion	{'08081668-n', '05946687-n'}
noesis	{'00023271-n'}
nasenbär	{'02509515-n'}
ringen	{'00447540-n'}
dynastie	{'07971582-n'}
wiederholung	{'01018630-n', '07099271-n'}
zeremonie	{'07450842-n'}
speerspitze	{'04271371-n'}
speer	{'04270891-n', '03594148-n'}
heide	{'12226932-n', '12233529-n'}
besenheide	{'12233529-n'}
genetik	{'06075527-n'}
talk	{'15066367-n'}
pneumokoniose	{'14149963-n'}
hase	{'02327028-n', '02326237-n', '07666521-n'}
kaninchen	{'07666521-n'}
antarktis	{'09198106-n'}
tremolo	{'07399336-n'}
klingen	{'07371293-n'}
gezeigt	{'00943837-v'}
zeigen	{'00943837-v', '06619065-n'}
hilfe	{'01207609-n', '13265904-n', '00654885-n'}
polymer	{'14994328-n'}
silicium	{'14654541-n'}
eigenschaft	{'04723816-n', '04916342-n', '05849040-n'}
ulcus	{'14211609-n'}
zwerg	{'09541125-n'}
schutz	{'04192698-n', '00817680-n'}
schaufel	{'02848523-n'}
begehren	{'07488340-n', '07489714-n', '07484265-n'}
sinnlichkeit	{'07488875-n'}
edelweiß	{'11989393-n'}
rumpf	{'02861886-n'}
leitwerk	{'04384016-n'}
verhandlung	{'07148192-n'}
gespräch	{'07134850-n', '07135734-n', '07148192-n'}
versöhnung	{'07151122-n'}
amateur	{'09786585-n'}
larve	{'02311060-n', '02312006-n'}
breiapfelbaum	{'12774641-n'}
wurst	{'07675627-n'}
anfang	{'07325190-n', '07290905-n'}
steigen	{'07327288-n'}
lufttrichter	{'04527310-n'}
rohr	{'03944672-n', '03253398-n', '04493505-n', '03945167-n'}
plattwürmer	{'01924590-n'}
fischbandwurm	{'01927456-n'}
manie	{'09181557-n'}
anlegestelle	{'04033082-n'}
ersatz	{'13282550-n'}
mechanismus	{'13518963-n'}
deutschland	{'08766988-n'}
europäisch	{'09686536-n'}
preußisch	{'09748648-n'}
yangon	{'08715777-n'}
rangun	{'08715777-n'}
burmesisch	{'09695747-n'}
mandalay	{'08715952-n'}
party	{'02491851-v'}
geschirr	{'03133538-n'}
essbesteck	{'04221424-n', '03153375-n'}
gläser	{'03439064-n'}
essgeschirr	{'03133538-n', '03202622-n'}
teller	{'03361945-n'}
service	{'04175380-n', '01032040-n', '00098625-n'}
canterbury	{'08883772-n'}
fähigkeit	{'05200169-n', '05616246-n'}
wildkatze	{'02124623-n'}
kupfer	{'14635722-n'}
akropolis	{'02676938-n'}
festung	{'03386011-n', '04340935-n'}
schanker	{'14184067-n'}
videokamera	{'04404997-n'}
neurosyphilis	{'14135065-n'}
analgetisch	{'02707683-n'}
schmerzmittel	{'02707683-n'}
röteln	{'14123259-n'}
deuterium	{'14641046-n'}
feuerstein	{'14871078-n'}
pädiatrie	{'06061631-n'}
amphibol	{'14665767-n'}
betäubungsmittel	{'03808564-n', '03247620-n'}
opium	{'03850966-n'}
musik	{'07020895-n'}
methadon	{'03754014-n'}
fuß	{'13650045-n', '02153445-n', '07094843-n'}
laotisch	{'09719794-n'}
vientiane	{'08957064-n'}
mekong	{'09350524-n'}
benzodiazepin	{'02830852-n'}
irrigation	{'00695448-n'}
spiel	{'01072949-v', '00457382-n', '01724459-v', '00430606-n', '00455599-n'}
gespielt	{'01724459-v', '01072949-v'}
korn	{'07731952-n'}
ähre	{'13133613-n'}
getreide	{'12141495-n', '07906877-n'}
puffmais	{'12145477-n'}
maiskolben	{'08544125-n'}
scharniergelenk	{'05580416-n'}
paprika	{'12900462-n', '07824702-n'}
atmosphäre	{'14520278-n'}
wind	{'11525955-n'}
amygdalin	{'14887464-n'}
polygamie	{'13966925-n'}
monogamie	{'13966007-n'}
insektizid	{'14919948-n'}
unterhaltung	{'00426928-n', '07135734-n'}
verstehen	{'00458641-n', '05805475-n'}
radieschen	{'11894327-n', '11894770-n'}
vers	{'06384708-n', '07092592-n'}
endoplasma	{'05433953-n'}
ektoplasma	{'05433856-n'}
zytoskelett	{'05433496-n'}
protoplasma	{'05432736-n'}
jungfrau	{'09471976-n'}
mikroprozessor	{'03760310-n'}
blechblasinstrumente	{'02891788-n'}
bassschlüssel	{'02803349-n'}
bombardon	{'03512030-n'}
helikon	{'03512030-n'}
formell	{'07448885-n'}
anatomie	{'06057539-n'}
regenpfeifer	{'02023341-n'}
schwertliliengewächse	{'12411084-n'}
königskerze	{'12888906-n'}
neuropsychologie	{'06140799-n'}
psychophysiologie	{'06140799-n'}
zelle	{'00006484-n'}
krater	{'09472413-n'}
leinkraut	{'12884260-n'}
eisenhut	{'11722982-n'}
plagioklas	{'14865316-n'}
